序号,股票代码,股票简称,最新价,涨跌幅(%),PE(TTM),PE(静),市净率,PEG值,市销率,市现率,所属行业,收益,ROE,同比,净资产,总股本,净利率,总营收,流通股,负债率,净利润,PE(动),总值,毛利率,流值,每股未分配利润
1,000001,平安银行,13.03,-0.837138508371,5.76514168,6.95891441,0.71139746,0.220969601482,1.40120756,9.88001071,银行,1.889062894,10.15,25.824609576111,18.316062,19405918198.0,26.5135789969,138265000000.0,19405546950.0,91.8118746912,36659000000.0,5.24,256352179395.58002,0.0,256347275209.50003,9.464844596682
2,000002,万科A,18.16,-2.260495156082,9.22908467,9.37725852,0.87601656,-0.343425817984,0.40697436,-164.72304087,房地产开发,1.465982955,7.12,2.166876128244,20.7302017,11630709471.0,8.0683313945,337673241644.89,9717360740.0,77.8476951452,17050421834.82,9.34,212376754940.46002,19.6293067753,177439007112.40002,8.466572422555
3,000004,ST国华,9.56,0.104712041885,-2.1180899,-2.4946155,1.42555728,-0.000191751507,6.1366614,68.77834275,软件开发,-0.427297693,-6.17,-268.261233270537,6.7061493,132848008.0,-68.5912378662,84225020.29,116328474.0,15.4579379508,-56765647.34,-16.8,1271355436.56,48.0997503123,1113263496.18,-3.666504987188
4,000005,ST星源,1.85,-0.537634408602,-43.37799968,14.08471758,1.41569128,0.380309248445,7.36570887,5.66988086,环保行业,0.009514171,0.73,-94.815463636624,1.3067821,1058536842.0,4.2616837238,174269707.97,1057946242.0,37.2070204391,10071101.03,147.41,1979463894.5400002,13.1464448508,1978359472.5400002,-0.360673853457
5,000006,深振业A,6.13,-9.985315712188,45.78392619,15.27712775,1.07707039,-2.073325862745,3.63726115,7.67903828,房地产开发,0.148951205,2.61,-64.221501434568,5.6913643,1349995046.0,14.489796769,1488893110.58,1349995046.0,68.7053948985,201083388.86,32.02,8585968492.56,40.0348943362,8585968492.56,2.769164424423
6,000007,全新好,7.78,-0.765306122449,80.82262735,67.43375986,29.1766049,-1.216215609327,10.03459614,46.40070119,房地产服务,-0.025785628,-9.22,-286.398724434149,0.266652,346448044.0,-5.9894734561,193908164.8,308948044.0,76.2970774854,-8933380.24,-224.54,2674578899.68,14.1555500297,2385078899.68,-1.0378088242
7,000008,神州高铁,2.29,-0.865800865801,-4.32918667,-4.56696051,1.26540687,0.041732296379,3.0050556,7.18456423,交运设备,-0.062982016,-3.34,-77.705036657671,1.8096946,2780795346.0,-18.125414564299998,947116269.21,2694491711.0,56.6739566613,-175140095.63,-27.51,6423637249.26,38.1766130173,6224275852.41,-0.130637457597
8,000009,中国宝安,11.98,-0.580912863071,43.00090076,29.83681971,3.5924701,0.759103282141,1.10722402,-72.94041309,综合行业,0.223143947,6.9,-35.519169036418,3.3347529,2579213965.0,6.934222601999999,22507166227.9,2551430324.0,63.6622073631,575535984.92,40.43,31027943998.949997,20.8248335289,30693706797.719997,1.641044728614
9,000010,美丽生态,3.62,-3.723404255319,-3194.01945676,163.37103683,3.09357894,117.439079719563,3.04218708,-7.55661138,工程建设,-0.002844412,-0.43,-113.911075299459,1.1701657,1058692292.0,-0.9664930437999999,559391155.94,522171273.0,64.3866587242,-3011357.42,-983.51,3948922249.16,14.636557148,1947698848.29,-1.696950028319
10,000011,深物业A,11.47,-4.892205638474,9.97803458,6.80885012,1.58040545,0.533558180226,1.63551434,-5.09331367,房地产开发,0.764700018,10.35,-41.165484813124,7.2576313,595979092.0,14.137660104800002,3140295994.52,526475543.0,70.7921877671,455745222.66,11.33,6883558512.6,49.9512455835,6080792521.650001,6.088109151386
